#{"t_start": 1773999538.7571719, "env_id": "highway-fast-v0"}
r,l,t
11.244444,40,142.717176
5.941006,40,142.895565
3.511111,40,143.079556
8.177778,40,143.264078
4.844444,40,143.450206
4.955556,40,143.633841
5.622222,40,143.812542
12.555556,40,143.999515
3.721527,40,144.17886
4.866667,40,144.35826
4.088889,40,144.542481
4.836971,40,144.72678
4.876781,40,144.908139
1.333333,40,145.091363
3.466667,40,145.274279
0.734618,40,145.458174
2.755556,40,145.640952
2.844444,40,145.822895
4.4144,40,146.001661
4.911111,40,146.181077
5.78053,40,146.361412
2.044444,40,146.537163
3.466667,40,146.721461
4.777778,40,146.907626
5.711111,40,147.090556
1.466667,40,147.272611
10.557469,40,147.452131
2.859856,40,147.635299
0.0,40,147.81945
2.846747,40,147.999529
3.555491,40,148.182728
7.733333,40,148.364302
11.427524,40,148.552467
7.206846,40,148.735349
2.857193,40,148.914706
4.355556,40,149.092794
2.088889,40,149.273886
2.911111,40,149.456609
14.866667,40,149.639657
4.297978,40,149.826068
9.111111,40,150.007893
2.571191,40,150.191911
11.044444,40,150.377362
2.844444,40,150.561656
4.466667,40,150.74803
6.288889,40,150.930561
12.616394,40,151.112956
3.488889,40,151.29952
4.03021,40,151.4808
2.044444,40,151.87304
9.862699,40,152.055126
1.355556,40,152.237064
7.133333,40,152.414977
4.888889,40,152.5966
3.688821,40,152.774895
5.577778,40,152.957104
0.0,40,153.136547
2.777778,40,153.314729
1.422222,40,153.496088
3.322231,40,153.677089
8.68438,40,153.857315
2.8,40,154.035539
20.981697,40,154.215337
2.688889,40,154.393142
9.838017,40,154.575535
2.8,40,154.757633
2.189793,40,154.937545
0.733333,40,155.118509
11.439051,40,155.300082
10.911111,40,155.481435
1.333333,40,155.661454
0.0,40,155.841601
0.0,40,156.024206
0.0,40,156.207012
3.439791,40,156.386763
6.582961,40,156.566237
11.955556,40,156.745868
3.022222,40,156.923112
3.533333,40,157.103964
9.177778,40,157.280016
3.533333,40,157.464134
3.511111,40,157.653133
4.54204,40,157.832244
1.444444,40,158.013302
6.339969,40,158.191944
7.822222,40,158.373
0.0,40,158.553353
4.311111,40,158.735228
10.538103,40,158.913644
7.044444,40,159.094967
5.044444,40,159.2752
2.937378,40,159.45915
0.0,40,159.642098
3.583964,40,159.821434
4.16861,40,160.003084
1.422222,40,160.181473
4.222222,40,160.364869
7.759862,40,160.547388
3.488889,40,160.725394
12.218355,40,160.90816
3.444444,40,161.090338
2.155556,40,161.274926
2.066667,40,161.456801
11.155556,40,161.637655
7.111111,40,161.816286
2.222967,40,161.999364
9.796298,40,162.181608
2.822222,40,162.363082
7.221395,40,162.542604
9.133333,40,162.725165
11.266667,40,162.906636
4.822222,40,163.084946
3.057757,40,163.267223
6.995386,40,163.450929
2.298829,40,163.634628
9.221602,40,163.815875
1.422222,40,163.998494
1.422222,40,164.180879
8.111111,40,164.358806
21.758637,40,164.536248
13.152637,40,164.722047
8.377778,40,164.907615
2.066667,40,165.088461
1.422222,40,165.267814
4.111111,40,165.448275
0.0,40,165.627039
1.4,40,165.80724
0.0,40,165.985324
4.896957,40,166.165811
7.755556,40,166.346881
4.955556,40,166.531803
4.911111,40,166.714304
7.777778,40,166.892856
11.268664,40,167.070693
9.066667,40,167.246387
0.0,40,167.422246
3.575181,40,167.606687
6.8656,40,167.79243
2.044444,40,167.978697
5.127655,40,168.164226
3.444444,40,168.351128
12.666667,40,168.536614
2.133333,40,168.723013
6.003058,40,168.910643
3.555556,40,169.095729
10.288889,40,169.281735
4.919039,40,169.466772
6.955556,40,169.652115
6.088889,40,169.834061
2.133333,40,170.016718
9.966634,40,170.199828
2.733333,40,170.592415
6.088889,40,170.77473
3.466667,40,170.953931
5.35482,40,171.136896
7.6,40,171.325169
8.545646,40,171.510268
11.450968,40,171.691405
2.166441,40,171.868841
2.929522,40,172.052421
11.933333,40,172.236299
5.644444,40,172.414996
4.911111,40,172.596457
0.733333,40,172.780106
3.555556,40,172.96139
1.444444,40,173.142644
4.955556,40,173.326027
8.466667,40,173.505431
15.622222,40,173.683172
1.422222,40,173.865368
12.440898,40,174.046786
4.2,40,174.227908
1.466667,40,174.409298
4.133333,40,174.588109
4.526917,40,174.771691
5.772054,40,174.957442
1.422222,40,175.14139
7.066667,40,175.324431
0.666667,40,175.504448
2.923375,40,175.686297
4.911111,40,175.866783
11.111111,40,176.052628
0.0,40,176.23236
4.538852,40,176.413382
8.888889,40,176.594698
8.411827,40,176.778706
5.62437,40,176.964058
7.017002,40,177.146184
4.342805,40,177.329091
11.266667,40,177.512439
4.288889,40,177.691349
4.777778,40,177.86989
3.555556,40,178.050821
12.59046,40,178.232717
10.402916,40,178.413693
13.844444,40,178.599306
7.652564,40,178.78277
3.355556,40,178.962958
0.0,40,179.14445
11.122641,40,179.331317
0.955556,40,179.513904
11.844444,40,179.69486
4.222222,40,179.878429
6.37146,40,180.061725
8.918908,40,180.242876
1.333333,40,180.425844
7.733333,40,180.604864
10.6,40,180.785338
6.377778,40,180.965876
1.422222,40,181.147638
6.155556,40,181.326419
6.133333,40,181.50634
2.822222,40,181.687969
10.266667,40,181.871886
3.4,40,182.054576
0.705035,40,182.237024
9.177778,40,182.415058
2.111111,40,182.598311
10.511111,40,182.778296
5.511111,40,182.963899
9.688889,40,183.148287
0.0,40,183.327885
4.218224,40,183.507013
2.111111,40,183.68861
4.277717,40,183.871404
2.755556,40,184.054041
3.577778,40,184.237103
9.311111,40,184.415183
4.2,40,184.595607
0.0,40,184.779754
0.711111,40,184.962866
3.713595,40,185.144439
8.107654,40,185.325948
6.483326,40,185.508782
8.511111,40,185.691277
14.777778,40,185.869382
9.234356,40,186.05178
7.0,40,186.23632
3.533333,40,186.416225
11.911111,40,186.601219
6.133333,40,186.784101
6.155556,40,186.965486
12.685886,40,187.148535
7.111111,40,187.333919
8.458181,40,187.51715
7.223627,40,187.699031
4.370774,40,187.878197
